date,open,high,low,close,volume,open_pct_change,high_pct_change,low_pct_change,close_pct_change,index_volume,index_high_pct_change,index_low_pct_change,index_close_pct_change
2000-01-04,0.8791996105009694,0.8815894697745016,0.8266393300696412,0.8708381652832031,30048000,-2.6455236344962496,-3.1495935393308416,-1.9829738179076184,-2.6701515642668205,1009000000,-1.5412739713717816,-2.845597211926121,-3.834466807849768
2000-01-05,0.8457519262268258,0.86008670463745,0.8302226558591029,0.8421684503555298,18835200,-3.8043333817089686,-2.4390905148347297,0.43348116392669667,-3.2921978009943675,1085500000,-2.8827223386445056,-1.4133086623944413,0.19221829913671495
2000-01-06,0.8421684628330893,0.8421684628330893,0.7549652991202445,0.7872183322906494,12048000,-0.42370147588353113,-2.0833064512854715,-9.064719711964885,-6.5248369303887666,1092300000,-0.0969379593605102,1.046681472679989,0.09556781096431433
2000-01-07,0.7836347730644193,0.8087199767939897,0.7716889796608639,0.8003585338592529,7118400,-6.950354038639761,-3.971709641866372,2.2151588371157604,1.669194050698497,1225200000,2.094337118616729,0.6199270910252075,2.7090399268961063
2000-01-10,0.8027476444362946,0.8600867618960301,0.7884128650713609,0.8266392350196838,23985600,2.439002457373607,6.351615710752423,2.1671795051222187,3.283616035641912,1064800000,1.5879633369866308,2.908482777011856,1.1189969413615053
2000-01-11,0.8218602722515628,0.8314170820781596,0.7931907176971436,0.7931907176971436,14812800,2.380901139696201,-3.3333474119133344,0.6060089627469845,-4.046325882625668,1014000000,-0.3892452148988923,-0.4890789888861602,-1.3062511876438365
2000-01-12,0.7931905889108166,0.7943850805795264,0.7621320556739072,0.7728833556175232,12355200,-3.488389000991965,-4.454082348906063,-3.9156613069563417,-2.5602117657879786,974600000,-1.101014507659548,-0.51171119098673,-0.43863713273940563
2000-01-13,0.771688923048544,0.8123042676708825,0.7621321140417302,0.8051364421844482,13219200,-2.71078176706534,2.255730568137504,7.658492062745381e-06,4.173085929785003,1030400000,0.8041020228928053,0.36228130900286537,1.2169700618563484
2000-01-14,0.8170825723341171,0.8732272079634533,0.8146935878265976,0.8397796750068665,60456000,5.88237668440883,7.5000147995350375,6.89663548044499,4.302777890468623,1085900000,1.292810442812553,1.2169700618563484,1.0671299962722536
2000-01-18,0.8505299898334994,0.8791995498832301,0.8123044930508841,0.8756160736083984,26164800,4.093517427967508,0.683939055644589,-0.29325071553428783,4.26735722095668,1056700000,-0.5329243439197162,0.11174845877479633,-0.683207152771137
